signal_id,alert_date,candle_date,kind,ticker,timeframe,entry_close,stop_level
CRYPTO_USDTB34691-USD_6H_2026-06-18,2026-06-18,2026-06-18,CRYPTO,USDTB34691-USD,6H,0.9999790192,0.9995877743
CRYPTO_USDT0-USD_8H_2026-06-18,2026-06-19,2026-06-18,CRYPTO,USDT0-USD,8H,1.001399755,0.9965821505
CRYPTO_AUSD32864-USD_8H_2026-06-18,2026-06-19,2026-06-18,CRYPTO,AUSD32864-USD,8H,0.9998716712,0.9994036555
CRYPTO_USDT0-USD_12H_2026-06-18,2026-06-19,2026-06-18,CRYPTO,USDT0-USD,12H,1.001399755,0.9965821505
CRYPTO_TSLAX-USD_12H_2026-06-18,2026-06-19,2026-06-18,CRYPTO,TSLAX-USD,12H,399.6144104,385.1143494
CRYPTO_USDY29256-USD_6H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,USDY29256-USD,6H,1.140258789,1.135564446
CRYPTO_TBK39177-USD_6H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,TBK39177-USD,6H,0.5999258161,0.5828205347
CRYPTO_SYRUPUSDT-USD_8H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,SYRUPUSDT-USD,8H,1.130684495,1.129826784
CRYPTO_TBK39177-USD_8H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,TBK39177-USD,8H,0.6015430689,0.5828205347
CRYPTO_HTX-USD_6H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,HTX-USD,6H,1.708220339e-06,1.699099244e-06
CRYPTO_USDF35721-USD_6H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,USDF35721-USD,6H,0.9945505261,0.9936327338
CRYPTO_BEAT38837-USD_6H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,BEAT38837-USD,6H,2.008342028,1.588905811
CRYPTO_RE-USD_6H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,RE-USD,6H,0.8073070645,0.4256969094
CRYPTO_TBK39177-USD_12H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,TBK39177-USD,12H,0.6078280807,0.5828205347
CRYPTO_BEAT38837-USD_8H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,BEAT38837-USD,8H,1.964882493,1.597609639
CRYPTO_GNO-USD_8H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,GNO-USD,8H,105.9599991,104.2399979
CRYPTO_AKT-USD_8H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,AKT-USD,8H,0.7609999776,0.7189999819
CRYPTO_RE-USD_8H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,RE-USD,8H,0.7525385022,0.4256969094
CRYPTO_TWT-USD_6H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,TWT-USD,6H,0.3843983412,0.3799871802
CRYPTO_AUSD32864-USD_6H_2026-06-19,2026-06-19,2026-06-19,CRYPTO,AUSD32864-USD,6H,0.9999340177,0.9996846914
CRYPTO_KOGE-USD_6H_2026-06-19,2026-06-20,2026-06-19,CRYPTO,KOGE-USD,6H,63.70026016,61.55340195
CRYPTO_GOMINING-USD_8H_2026-06-19,2026-06-20,2026-06-19,CRYPTO,GOMINING-USD,8H,0.272198379,0.266364634
CRYPTO_VUSDT-USD_12H_2026-06-19,2026-06-20,2026-06-19,CRYPTO,VUSDT-USD,12H,0.02631478943,0.02578491531
CRYPTO_JUP29210-USD_2D_2026-06-18,2026-06-20,2026-06-18,CRYPTO,JUP29210-USD,2D,0.1951429993,0.1811230034
CRYPTO_RLB-USD_2D_2026-06-18,2026-06-20,2026-06-18,CRYPTO,RLB-USD,2D,0.06202400103,0.059218999
